origin,dest,distance
0,1,2458
0,2,2597
0,3,2634
0,4,2821
0,5,2745
0,6,1753
0,7,1796
0,8,1197
0,9,1498
0,10,1021
0,11,1120
1,0,2410
1,2,218
1,3,709
1,4,994
1,5,1115
1,6,1158
1,7,1211
1,8,2373
1,9,2674
1,10,2036
1,11,2379
2,0,2561
2,1,220
2,3,759
2,4,1082
2,5,1203
2,6,1309
2,7,1362
2,8,2524
2,9,2824
2,10,2187
2,11,2530
3,0,2586
3,1,702
3,2,748
3,4,651
3,5,818
3,6,1334
3,7,1387
3,8,2549
3,9,2850
3,10,2212
3,11,2555
4,0,2758
4,1,954
4,2,1044
4,3,660
4,5,364
4,6,1506
4,7,1559
4,8,2721
4,9,3022
4,10,2384
4,11,2727
5,0,2651
5,1,1026
5,2,1116
5,3,801
5,4,351
5,6,1400
5,7,1453
5,8,2615
5,9,2915
5,10,2278
5,11,2620
6,0,1701
6,1,1170
6,2,1310
6,3,1346
6,4,1533
6,5,1457
6,7,211
6,8,1664
6,9,1965
6,10,1327
6,11,1670
7,0,1759
7,1,1249
7,2,1389
7,3,1425
7,4,1612
7,5,1536
7,6,205
7,8,1643
7,9,1943
7,10,1385
7,11,1648
8,0,1182
8,1,2291
8,2,2430
8,3,2467
8,4,2653
8,5,2578
8,6,1586
8,7,1583
8,9,710
8,10,1028
8,11,927
9,0,1499
9,1,2582
9,2,2721
9,3,2758
9,4,2945
9,5,2869
9,6,1877
9,7,1875
9,8,720
9,10,1319
9,11,1218
10,0,968
10,1,1947
10,2,2087
10,3,2123
10,4,2310
10,5,2234
10,6,1243
10,7,1286
10,8,986
10,9,1287
10,11,992
11,0,1192
11,1,2366
11,2,2505
11,3,2542
11,4,2729
11,5,2653
11,6,1661
11,7,1659
11,8,895
11,9,1196
11,10,1103
